comb	episodes	steps	gamma	e	lr	wins	Success Ep	elapsed time (s)
0.0	5000.0	200.0	0.95	0.01	0.1	70.0	0.014	697.1002266407013
1.0	5000.0	200.0	0.95	0.01	0.01	61.0	0.0122	715.5536925792694
2.0	5000.0	200.0	0.95	0.01	0.001	0.0	0.0	665.0719616413116
3.0	5000.0	200.0	0.95	0.01	0.0001	1.0	0.0002	129.6833198070526
4.0	5000.0	200.0	0.97	0.01	0.1	55.0	0.011	691.656035900116
5.0	5000.0	200.0	0.97	0.01	0.01	98.0	0.0196	715.1595163345337
6.0	5000.0	200.0	0.97	0.01	0.001	0.0	0.0	671.0412585735321
7.0	5000.0	200.0	0.97	0.01	0.0001	64.0	0.0128	523.5465593338013
8.0	5000.0	200.0	0.99	0.01	0.1	62.0	0.0124	690.971581697464
9.0	5000.0	200.0	0.99	0.01	0.01	52.0	0.0104	662.5918884277344
10.0	5000.0	200.0	0.99	0.01	0.001	0.0	0.0	600.7750260829926
11.0	5000.0	200.0	0.99	0.01	0.0001	672.0	0.1344	238.50001215934753
12.0	5000.0	200.0	0.95	0.001	0.1	257.0	0.0514	266.0640652179718
13.0	5000.0	200.0	0.95	0.001	0.01	24.0	0.0048	713.5461027622223
14.0	5000.0	200.0	0.95	0.001	0.001	128.0	0.0256	650.8776214122772
15.0	5000.0	200.0	0.95	0.001	0.0001	3.0	0.0006	691.4185872077942
16.0	5000.0	200.0	0.97	0.001	0.1	39.0	0.0078	703.7152063846588
17.0	5000.0	200.0	0.97	0.001	0.01	205.0	0.041	697.3039658069611
18.0	5000.0	200.0	0.97	0.001	0.001	0.0	0.0	701.0842926502228
19.0	5000.0	200.0	0.97	0.001	0.0001	53.0	0.0106	235.79564929008484
20.0	5000.0	200.0	0.99	0.001	0.1	31.0	0.0062	701.803459405899
21.0	5000.0	200.0	0.99	0.001	0.01	32.0	0.0064	712.560161113739
22.0	5000.0	200.0	0.99	0.001	0.001	3573.0	0.7146	296.2204155921936
23.0	5000.0	200.0	0.99	0.001	0.0001	1756.0	0.3512	162.0036976337433
