comb	episodes	steps	gamma	e	lr	wins	Success Ep	elapsed time (s)
0.0	5000.0	200.0	0.95	0.01	0.1	409.0	0.0818	753.4504685401917
1.0	5000.0	200.0	0.95	0.01	0.01	26.0	0.0052	895.5094397068024
2.0	5000.0	200.0	0.95	0.01	0.001	7.0	0.0014	915.0516285896301
3.0	5000.0	200.0	0.95	0.01	0.0001	0.0	0.0	937.4753494262695
4.0	5000.0	200.0	0.97	0.01	0.1	786.0	0.1572	692.5411899089813
5.0	5000.0	200.0	0.97	0.01	0.01	4867.0	0.9734	82.5475594997406
6.0	5000.0	200.0	0.97	0.01	0.001	1.0	0.0002	960.804473400116
7.0	5000.0	200.0	0.97	0.01	0.0001	8.0	0.0016	950.7131247520447
8.0	5000.0	200.0	0.99	0.01	0.1	1004.0	0.2008	651.5271425247192
9.0	5000.0	200.0	0.99	0.01	0.01	32.0	0.0064	900.6150000095367
10.0	5000.0	200.0	0.99	0.01	0.001	0.0	0.0	948.9253227710724
11.0	5000.0	200.0	0.99	0.01	0.0001	3050.0	0.61	241.98863339424133
12.0	5000.0	200.0	0.95	0.001	0.1	77.0	0.0154	942.801263332367
13.0	5000.0	200.0	0.95	0.001	0.01	29.0	0.0058	945.9867389202118
14.0	5000.0	200.0	0.95	0.001	0.001	0.0	0.0	955.1212112903595
15.0	5000.0	200.0	0.95	0.001	0.0001	1.0	0.0002	955.339305639267
16.0	5000.0	200.0	0.97	0.001	0.1	75.0	0.015	948.1841416358948
17.0	5000.0	200.0	0.97	0.001	0.01	19.0	0.0038	943.039701461792
18.0	5000.0	200.0	0.97	0.001	0.001	0.0	0.0	953.5745236873627
19.0	5000.0	200.0	0.97	0.001	0.0001	0.0	0.0	964.467517375946
20.0	5000.0	200.0	0.99	0.001	0.1	78.0	0.0156	946.3908026218414
21.0	5000.0	200.0	0.99	0.001	0.01	46.0	0.0092	943.4391145706177
22.0	5000.0	200.0	0.99	0.001	0.001	0.0	0.0	966.9071366786957
23.0	5000.0	200.0	0.99	0.001	0.0001	0.0	0.0	959.2904915809631
