comb	episodes	steps	gamma	e	lr	wins	Success Ep	elapsed time (s)
0.0	5000.0	200.0	0.95	0.01	0.1	57.0	0.0114	968.3354330062866
1.0	5000.0	200.0	0.95	0.01	0.01	44.0	0.0088	955.7592232227325
2.0	5000.0	200.0	0.95	0.01	0.001	2171.0	0.4342	461.2523818016052
3.0	5000.0	200.0	0.95	0.01	0.0001	14.0	0.0028	196.0777931213379
4.0	5000.0	200.0	0.97	0.01	0.1	58.0	0.0116	957.3978092670441
5.0	5000.0	200.0	0.97	0.01	0.01	90.0	0.018	984.8097443580627
6.0	5000.0	200.0	0.97	0.01	0.001	23.0	0.0046	885.2537899017334
7.0	5000.0	200.0	0.97	0.01	0.0001	0.0	0.0	445.9876573085785
8.0	5000.0	200.0	0.99	0.01	0.1	57.0	0.0114	961.9573843479156
9.0	5000.0	200.0	0.99	0.01	0.01	304.0	0.0608	957.6019356250763
10.0	5000.0	200.0	0.99	0.01	0.001	3784.0	0.7568	561.3623371124268
11.0	5000.0	200.0	0.99	0.01	0.0001	1.0	0.0002	474.075790643692
12.0	5000.0	200.0	0.95	0.001	0.1	39.0	0.0078	967.2182159423828
13.0	5000.0	200.0	0.95	0.001	0.01	36.0	0.0072	976.370358467102
14.0	5000.0	200.0	0.95	0.001	0.001	30.0	0.006	601.3111345767975
15.0	5000.0	200.0	0.95	0.001	0.0001	451.0	0.0902	163.28953862190247
16.0	5000.0	200.0	0.97	0.001	0.1	164.0	0.0328	849.5300009250641
17.0	5000.0	200.0	0.97	0.001	0.01	3743.0	0.7486	459.9305558204651
18.0	5000.0	200.0	0.97	0.001	0.001	5.0	0.001	973.4424920082092
19.0	5000.0	200.0	0.97	0.001	0.0001	1772.0	0.3544	221.99501180648804
20.0	5000.0	200.0	0.99	0.001	0.1	33.0	0.0066	993.1767399311066
21.0	5000.0	200.0	0.99	0.001	0.01	3828.0	0.7656	501.8214855194092
22.0	5000.0	200.0	0.99	0.001	0.001	1.0	0.0002	966.5824296474457
23.0	5000.0	200.0	0.99	0.001	0.0001	0.0	0.0	618.1367650032043
